Link audit for C:\work\ex\java\demo\atf3\test-framework\docs\out\2026-06-17_14.55.00\analysis\langgraph-business-understanding.html
Generated: 2026-06-17 15:09:00


href                                                                                                 type   status targ
                                                                                                                   et  
----                                                                                                 ----   ------ ----
#artifacts                                                                                           anchor ok     a...
#audit                                                                                               anchor ok     a...
#audit-run-01                                                                                        anchor ok     a...
#audit-run-02                                                                                        anchor ok     a...
#audit-run-03                                                                                        anchor ok     a...
#audit-run-04                                                                                        anchor ok     a...
#audit-run-05                                                                                        anchor ok     a...
#closeout                                                                                            anchor ok     c...
#graph                                                                                               anchor ok     g...
#history                                                                                             anchor ok     h...
#overview                                                                                            anchor ok     o...
#proof                                                                                               anchor ok     p...
#score-overview                                                                                      anchor ok     s...
#state                                                                                               anchor ok     s...
#truth                                                                                               anchor ok     t...
#verdict                                                                                             anchor ok     v...
../../../prompts/iterativ/agent-runtime.properties                                                   file   ok     C...
../README.md                                                                                         file   ok     C...
../review/execution-gate-card.md                                                                     file   ok     C...
../review/local-link-check.txt                                                                       file   ok     C...
../review/next-run-eligibility-card.md                                                               file   ok     C...
../review/package-close-out.md                                                                       file   ok     C...
../review/package-state.json                                                                         file   ok     C...
../review/quality-accounting-verdict.md                                                              file   ok     C...
../review/root-source-thin-no-index.diff                                                             file   ok     C...
../review/round-pretraining-brief.md                                                                 file   ok     C...
../runs/run_01/review/run-state.json                                                                 file   ok     C...
../runs/run_01/review/score-support.md                                                               file   ok     C...
../runs/run_01/review/source-delta-carrier.md                                                        file   ok     C...
../runs/run_01/review/thin-no-index.diff                                                             file   ok     C...
../runs/run_01/SUMMARY.md                                                                            file   ok     C...
../runs/run_01/validation/command-result.md                                                          file   ok     C...
../runs/run_01/validation/ExtentReport_2026-06-17_14-56-04.html                                      file   ok     C...
../runs/run_01/validation/TEST-com.endava.ai.ui.tests.ContactSupportSurfaceTests.xml                 file   ok     C...
../runs/run_02/review/run-state.json                                                                 file   ok     C...
../runs/run_02/review/score-support.md                                                               file   ok     C...
../runs/run_02/review/source-delta-carrier.md                                                        file   ok     C...
../runs/run_02/review/thin-no-index.diff                                                             file   ok     C...
../runs/run_02/SUMMARY.md                                                                            file   ok     C...
../runs/run_02/validation/command-result.md                                                          file   ok     C...
../runs/run_02/validation/ExtentReport_2026-06-17_14-57-03.html                                      file   ok     C...
../runs/run_02/validation/TEST-com.endava.ai.ui.tests.ContactSupportValidationTests.xml              file   ok     C...
../runs/run_03/review/run-state.json                                                                 file   ok     C...
../runs/run_03/review/score-support.md                                                               file   ok     C...
../runs/run_03/review/source-delta-carrier.md                                                        file   ok     C...
../runs/run_03/review/thin-no-index.diff                                                             file   ok     C...
../runs/run_03/SUMMARY.md                                                                            file   ok     C...
../runs/run_03/validation/command-result.md                                                          file   ok     C...
../runs/run_03/validation/ExtentReport_2026-06-17_14-57-43.html                                      file   ok     C...
../runs/run_03/validation/TEST-com.endava.ai.ui.tests.ContactSupportSubjectRoutingTests.xml          file   ok     C...
../runs/run_04/review/run-state.json                                                                 file   ok     C...
../runs/run_04/review/score-support.md                                                               file   ok     C...
../runs/run_04/review/source-delta-carrier.md                                                        file   ok     C...
../runs/run_04/review/thin-no-index.diff                                                             file   ok     C...
../runs/run_04/SUMMARY.md                                                                            file   ok     C...
../runs/run_04/validation/command-result.md                                                          file   ok     C...
../runs/run_04/validation/ExtentReport_2026-06-17_14-58-18.html                                      file   ok     C...
../runs/run_04/validation/TEST-com.endava.ai.ui.tests.ContactSupportMessageEvidenceTests.xml         file   ok     C...
../runs/run_05/review/run-state.json                                                                 file   ok     C...
../runs/run_05/review/score-support.md                                                               file   ok     C...
../runs/run_05/review/source-delta-carrier.md                                                        file   ok     C...
../runs/run_05/review/thin-no-index.diff                                                             file   ok     C...
../runs/run_05/SUMMARY.md                                                                            file   ok     C...
../runs/run_05/validation/command-result.md                                                          file   ok     C...
../runs/run_05/validation/ExtentReport_2026-06-17_14-58-51.html                                      file   ok     C...
../runs/run_05/validation/TEST-com.endava.ai.ui.tests.ContactSupportPaymentsAcknowledgementTests.xml file   ok     C...
canonical-render-check.png                                                                           file   ok     C...
langgraph-business-understanding.html                                                                file   ok     C...
link-audit.md                                                                                        file   ok     C...
render-proof.md                                                                                      file   ok     C...
shared-report-reference.css                                                                          file   ok     C...
data:,                                                                                               inline n/a    i...

Totals:
- total hrefs: 72
- ok: 71
- missing: 0
- n/a: 1
